Time	Amplitude
1,544613650E+3	1,706242938E-2
1,544613700E+3	1,690128864E-2
1,544613750E+3	1,577330343E-2
1,544613800E+3	1,609558492E-2
1,544613850E+3	1,577330343E-2
1,544613900E+3	1,657900715E-2
1,544613950E+3	1,512874046E-2
1,544614000E+3	1,528988120E-2
1,544614050E+3	1,480645897E-2
1,544614100E+3	1,512874046E-2
1,544614150E+3	1,416189600E-2
1,544614200E+3	1,190592561E-2
1,544614250E+3	1,303391080E-2
1,544614300E+3	1,432303674E-2
1,544614350E+3	1,512874046E-2
1,544614400E+3	1,077794042E-2
1,544614450E+3	1,287277006E-2
1,544614500E+3	1,287277006E-2
1,544614550E+3	1,287277006E-2
1,544614600E+3	1,255048857E-2
1,544614650E+3	1,432303674E-2
1,544614700E+3	1,319505154E-2
1,544614750E+3	1,464531823E-2
1,544614800E+3	1,496759971E-2
1,544614850E+3	1,400075525E-2
1,544614900E+3	1,319505154E-2
1,544614950E+3	1,206706635E-2
1,544615000E+3	1,496759971E-2
1,544615050E+3	1,400075525E-2
1,544615100E+3	1,416189600E-2
1,544615150E+3	1,319505154E-2
1,544615200E+3	1,255048857E-2
1,544615250E+3	1,142250338E-2
1,544615300E+3	1,174478487E-2
1,544615350E+3	1,287277006E-2
1,544615400E+3	1,255048857E-2
1,544615450E+3	1,158364412E-2
1,544615500E+3	1,383961451E-2
1,544615550E+3	1,432303674E-2
1,544615600E+3	1,126136264E-2
1,544615650E+3	1,093908116E-2
1,544615700E+3	1,367847377E-2
1,544615750E+3	1,303391080E-2
1,544615800E+3	1,303391080E-2
1,544615850E+3	1,367847377E-2
1,544615900E+3	1,158364412E-2
1,544615950E+3	1,287277006E-2
1,544616000E+3	1,061679968E-2
1,544616050E+3	1,158364412E-2
1,544616100E+3	1,271162932E-2
1,544616150E+3	1,238934783E-2
1,544616200E+3	1,206706635E-2
1,544616250E+3	1,303391080E-2
1,544616300E+3	1,190592561E-2
1,544616350E+3	1,093908116E-2
1,544616400E+3	1,077794042E-2
1,544616450E+3	1,045565894E-2
1,544616500E+3	1,335619228E-2
1,544616550E+3	1,255048857E-2
1,544616600E+3	1,400075525E-2
1,544616650E+3	1,142250338E-2
1,544616700E+3	1,222820709E-2
1,544616750E+3	1,287277006E-2
1,544616800E+3	1,319505154E-2
1,544616850E+3	1,174478487E-2
1,544616900E+3	1,480645897E-2
1,544616950E+3	1,287277006E-2
1,544617000E+3	1,255048857E-2
1,544617050E+3	1,319505154E-2
1,544617100E+3	1,190592561E-2
1,544617150E+3	1,367847377E-2
1,544617200E+3	1,464531823E-2
1,544617250E+3	1,303391080E-2
1,544617300E+3	1,335619228E-2
1,544617350E+3	1,238934783E-2
1,544617400E+3	1,271162932E-2
1,544617450E+3	1,303391080E-2
1,544617500E+3	1,287277006E-2
1,544617550E+3	1,383961451E-2
1,544617600E+3	1,432303674E-2
1,544617650E+3	1,416189600E-2
1,544617700E+3	1,432303674E-2
1,544617750E+3	1,448417748E-2
1,544617800E+3	1,335619228E-2
1,544617850E+3	1,400075525E-2
1,544617900E+3	1,464531823E-2
1,544617950E+3	1,287277006E-2
1,544618000E+3	1,432303674E-2
1,544618050E+3	1,496759971E-2
1,544618100E+3	1,722357012E-2
1,544618150E+3	1,496759971E-2
1,544618200E+3	1,545102194E-2
1,544618250E+3	1,609558492E-2
1,544618300E+3	1,545102194E-2
1,544618350E+3	1,915725906E-2
1,544618400E+3	1,770699236E-2
1,544618450E+3	1,754585161E-2
1,544618500E+3	1,706242938E-2
1,544618550E+3	1,593444417E-2
1,544618600E+3	1,545102194E-2
1,544618650E+3	1,819041459E-2
1,544618700E+3	1,657900715E-2
1,544618750E+3	1,383961451E-2
1,544618800E+3	2,656973344E-2
1,544618850E+3	2,044638503E-2
1,544618900E+3	2,076866652E-2
1,544618950E+3	1,883497757E-2
1,544619000E+3	1,867383683E-2
1,544619050E+3	2,254121474E-2
1,544619100E+3	2,254121474E-2
1,544619150E+3	2,431376296E-2
1,544619200E+3	2,157437025E-2
1,544619250E+3	1,996296279E-2
1,544619300E+3	2,366919997E-2
1,544619350E+3	2,366919997E-2
1,544619400E+3	2,463604446E-2
1,544619450E+3	2,383034072E-2
1,544619500E+3	2,608631120E-2
1,544619550E+3	2,608631120E-2
1,544619600E+3	2,721429644E-2
1,544619650E+3	2,737543719E-2
1,544619700E+3	2,689201494E-2
1,544619750E+3	2,673087419E-2
1,544619800E+3	2,656973344E-2
1,544619850E+3	2,721429644E-2
1,544619900E+3	2,914798545E-2
1,544619950E+3	2,866456319E-2
1,544620000E+3	3,092053371E-2
1,544620050E+3	3,140395597E-2
1,544620100E+3	3,317650425E-2
1,544620150E+3	3,269308199E-2
1,544620200E+3	3,156509672E-2
1,544620250E+3	3,462677103E-2
1,544620300E+3	3,511019329E-2
1,544620350E+3	3,446563027E-2
1,544620400E+3	3,285422274E-2
1,544620450E+3	3,317650425E-2
1,544620500E+3	3,688274159E-2
1,544620550E+3	3,849414915E-2
1,544620600E+3	4,123354201E-2
1,544620650E+3	3,978327520E-2
1,544620700E+3	3,768844537E-2
1,544620750E+3	4,123354201E-2
1,544620800E+3	4,268380884E-2
1,544620850E+3	4,332837187E-2
1,544620900E+3	4,526206098E-2
1,544620950E+3	4,639004631E-2
1,544621000E+3	4,526206098E-2
1,544621050E+3	4,445635719E-2
1,544621100E+3	5,025742459E-2
1,544621150E+3	4,784031316E-2
1,544621200E+3	4,558434251E-2
1,544621250E+3	4,767917240E-2
1,544621300E+3	5,025742459E-2
1,544621350E+3	5,605849212E-2
1,544621400E+3	5,605849212E-2
1,544621450E+3	5,315795834E-2
1,544621500E+3	5,525278829E-2
1,544621550E+3	6,073157438E-2
1,544621600E+3	5,847560362E-2
1,544621650E+3	6,169841900E-2
1,544621700E+3	6,234298208E-2
1,544621750E+3	6,379324901E-2
1,544621800E+3	6,411553056E-2
1,544621850E+3	6,508237518E-2
1,544621900E+3	6,959431683E-2
1,544621950E+3	6,588807905E-2
1,544622000E+3	7,040002071E-2
1,544622050E+3	6,830519064E-2
1,544622100E+3	7,394511779E-2
1,544622150E+3	7,603994790E-2
1,544622200E+3	7,458968090E-2
1,544622250E+3	7,716793335E-2
1,544622300E+3	7,346169545E-2
1,544622350E+3	7,781249647E-2
1,544622400E+3	7,652337024E-2
1,544622450E+3	7,603994790E-2
1,544622500E+3	7,749021491E-2
1,544622550E+3	8,151873443E-2
1,544622600E+3	7,700679257E-2
1,544622650E+3	7,958504505E-2
1,544622700E+3	8,184101600E-2
1,544622750E+3	8,409698696E-2
1,544622800E+3	8,377470539E-2
1,544622850E+3	8,748094344E-2
1,544622900E+3	8,280786069E-2
1,544622950E+3	8,570839480E-2
1,544623000E+3	8,828664737E-2
1,544623050E+3	8,441926853E-2
1,544623100E+3	9,183174470E-2
1,544623150E+3	8,796436580E-2
1,544623200E+3	9,312087102E-2
1,544623250E+3	8,780322501E-2
1,544623300E+3	9,392657497E-2
1,544623350E+3	9,537684208E-2
1,544623400E+3	9,988878428E-2
1,544623450E+3	9,392657497E-2
1,544623500E+3	9,956650269E-2
1,544623550E+3	9,634368683E-2
1,544623600E+3	9,972764348E-2
1,544623650E+3	9,650482762E-2
1,544623700E+3	1,085903873E-1
1,544623750E+3	9,666596841E-2
1,544623800E+3	1,016613330E-1
1,544623850E+3	1,047230082E-1
1,544623900E+3	1,116520625E-1
1,544623950E+3	1,113297809E-1
1,544624000E+3	1,132634706E-1
1,544624050E+3	1,100406545E-1
1,544624100E+3	1,187422579E-1
1,544624150E+3	1,256713128E-1
1,544624200E+3	1,208370884E-1
1,544624250E+3	1,209982293E-1
1,544624300E+3	1,247044679E-1
1,544624350E+3	1,235764822E-1
1,544624400E+3	1,355009025E-1
1,544624450E+3	1,276050025E-1
1,544624500E+3	1,334060719E-1
1,544624550E+3	1,380791556E-1
1,544624600E+3	1,422688170E-1
1,544624650E+3	1,350174801E-1
1,544624700E+3	1,480698868E-1
1,544624750E+3	1,628948435E-1
1,544624800E+3	1,653119561E-1
1,544624850E+3	1,611222943E-1
1,544624900E+3	1,678902096E-1
1,544624950E+3	1,769140970E-1
1,544625000E+3	1,878716752E-1
1,544625050E+3	1,964121409E-1
1,544625100E+3	1,999572400E-1
1,544625150E+3	2,112371012E-1
1,544625200E+3	2,433041390E-1
1,544625250E+3	2,589348077E-1
1,544625300E+3	2,486217890E-1
1,544625350E+3	2,639301764E-1
1,544625400E+3	3,232300480E-1
1,544625450E+3	3,343487764E-1
1,544625500E+3	3,957435091E-1
1,544625550E+3	4,892053599E-1
1,544625600E+3	5,291683794E-1
1,544625650E+3	5,533395672E-1
1,544625700E+3	7,175426471E-1
1,544625750E+3	8,878694003E-1
1,544625800E+3	9,131686728E-1
1,544625850E+3	9,959956476E-1
1,544625900E+3	1,048205694E+0
